item,clinical_recall_all,clinical_recall_symptoms,clinical_recall_medications,clinical_recall_labs,overall_token_f1,overall_rouge_l_f1,assessment_alignment_score,plan_alignment_score,judge_overall_grade,judge_error,n_omissions,n_additions,n_additions_supported_by_transcript,n_additions_unsupported_by_transcript,n_additions_unknown_by_transcript,n_omissions_unsupported_by_transcript
item_0000,0.36,0.38461538461538464,1.0,0.375,0.6918927770157475,0.5347974079612619,0.5517241379310345,0.6666666666666667,B,,11,8,16,0,0,1
item_0001,0.16666666666666666,0.25,1.0,0.0,0.5884920634920634,0.4560895474285914,0.37499999999999994,0.6785714285714285,A,,0,6,13,0,0,
item_0002,0.5909090909090909,0.5,1.0,0.14285714285714285,0.6674736455136736,0.5296231558560978,0.4,0.7112970711297071,D,,6,4,8,0,0,0
item_0003,0.35294117647058826,0.42857142857142855,0.3333333333333333,0.16666666666666666,0.6068179635490559,0.4620344765789909,0.27999999999999997,0.5668449197860962,C,,22,9,12,0,0,2
item_0004,0.375,0.5,0.25,0.0,0.7234108015852353,0.5806145056881763,0.52,0.6227544910179641,,"Grading step missing section 'Other'; got ['Subjective', 'Objective', 'Assessment', 'Plan']",,,,,,
item_0005,0.43333333333333335,0.5882352941176471,1.0,0.2857142857142857,0.6937888932089429,0.5867096399911401,0.5352112676056338,0.6737967914438502,,"Grading step missing section 'Other'; got ['Subjective', 'Objective', 'Assessment', 'Plan']",,,,,,
item_0006,0.35,0.6153846153846154,0.0,0.2727272727272727,0.5185654994376943,0.3699680637037662,0.2564102564102564,0.5922330097087379,C,,9,10,20,0,0,0
item_0007,0.13333333333333333,0.38461538461538464,0.0,0.07142857142857142,0.6412553664922045,0.5371124737250522,0.4615384615384615,0.5925925925925927,C,,9,9,13,5,0,0
item_0008,0.4482758620689655,0.7058823529411765,0.0,0.0,0.5941230381438547,0.5158546013874629,0.15,0.5443037974683544,D,,4,3,5,2,0,0
item_0009,0.2222222222222222,0.14285714285714285,0.0,0.16666666666666666,0.5981028648770584,0.4803717061814968,0.2051282051282051,0.5290322580645161,C,,3,6,9,3,0,0
item_0010,0.4583333333333333,0.7692307692307693,0.0,0.25,0.005633802816901409,0.003305785123966942,0.0,0.0,C,,8,14,13,1,0,3
item_0011,0.3888888888888889,0.5,0.5,0.14285714285714285,0.7050183822372781,0.5880412351579986,0.4411764705882353,0.6695278969957082,C,,8,8,14,2,0,1
item_0012,0.25806451612903225,0.2857142857142857,0.5,0.16666666666666666,0.6447410216053798,0.5178019880320683,0.37500000000000006,0.6556016597510373,C,,9,7,14,0,0,1
item_0013,0.25,0.25,0.5,0.16666666666666666,0.6311379230088907,0.48931245955322,0.3636363636363636,0.6266666666666667,C,,7,9,18,0,0,2
item_0014,0.5666666666666667,0.6,0.75,0.16666666666666666,0.7197215686363146,0.611929679265171,0.7804878048780488,0.5656565656565656,D,,5,5,10,0,0,0
item_0015,0.2692307692307692,0.4,0.5,0.0,0.6335749363078333,0.5420148814749032,0.5,0.46706586826347307,,"Grading step missing section 'Other'; got ['Subjective', 'Objective', 'Assessment', 'Plan']",,,,,,
item_0016,0.48148148148148145,0.5833333333333334,1.0,0.14285714285714285,0.6748394879973827,0.5761205146533823,0.36363636363636365,0.631578947368421,B,,3,3,7,0,0,0
item_0017,0.42857142857142855,0.75,1.0,0.2,0.6654693854172633,0.5732485908291551,0.24999999999999997,0.7764705882352942,B,,11,8,16,0,0,3
item_0018,0.5,0.7142857142857143,0.0,0.3333333333333333,0.5690992055821559,0.4869549687460135,0.186046511627907,0.5560975609756097,,"Grading step missing section 'Other'; got ['Subjective', 'Objective', 'Assessment', 'Plan']",,,,,,
item_0019,0.43478260869565216,0.5,1.0,0.0,0.6066975432049403,0.4948101411918594,0.625,0.575609756097561,C,,9,12,24,0,0,1
item_0020,0.2857142857142857,0.6666666666666666,0.5,0.0,0.6646119509014963,0.5715702804817655,0.28571428571428575,0.6425339366515838,D,,10,4,8,0,0,0
item_0021,0.42105263157894735,0.0,1.0,0.2,0.7132743652743653,0.6283987026715174,0.43243243243243246,0.6272727272727272,C,,6,3,4,2,0,0
