item,iterations,n_claims,n_unsupported,unsupported_rate,accuracy_score,completeness_score,communication_quality_score,context_awareness_score,instruction_following_score,overall_score
item_0000,1,22,0,0.0,0.92,0.88,0.5,0.88,0.75,0.85
item_0001,2,22,0,0.0,0.92,0.87,0.5,0.8,1.0,0.86
item_0002,1,25,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0003,1,22,0,0.0,0.92,0.87,0.5,0.88,0.75,0.86
item_0004,1,17,0,0.0,0.9583,0.9333,0.5,0.875,1.0,0.9286
item_0005,1,17,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0006,1,20,0,0.0,0.87,0.94,0.5,0.88,0.75,0.84
item_0007,2,23,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0008,1,25,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0009,1,25,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0010,1,23,0,0.0,0.92,0.88,0.9,0.75,0.75,0.82
item_0011,1,25,0,0.0,0.92,0.87,0.5,0.88,0.75,0.86
item_0012,1,25,0,0.0,0.93,0.94,0.5,0.88,0.75,0.89
item_0013,1,25,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0014,1,22,0,0.0,0.9583,0.9333,0.5,0.875,1.0,0.8875
item_0015,1,17,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0016,1,23,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0017,1,18,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0018,1,22,0,0.0,0.92,0.88,1.0,0.88,0.75,0.86
item_0019,1,20,0,0.0,0.92,0.88,0.9,0.75,1.0,0.86
item_0020,1,24,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0021,1,18,0,0.0,0.88,0.93,0.5,0.88,0.75,0.83
item_0022,1,17,0,0.0,0.93,0.93,0.5,0.88,0.75,0.88
item_0023,1,20,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0024,1,24,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0025,1,22,0,0.0,0.96,0.93,0.5,0.88,0.75,0.89
item_0026,1,24,0,0.0,0.9583,0.9333,0.5,0.875,0.75,0.8481
item_0027,1,24,0,0.0,0.93,0.83,0.5,0.83,0.75,0.81
item_0028,1,20,0,0.0,0.92,0.87,0.8,0.83,0.75,0.85
item_0029,2,22,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0030,1,25,0,0.0,0.94,0.96,0.5,0.93,0.75,0.89
item_0031,1,25,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0032,1,25,0,0.0,0.92,0.88,0.9,0.87,1.0,0.89
item_0033,1,24,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0034,1,25,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0035,1,14,0,0.0,0.93,0.8,0.5,0.8,0.75,0.82
item_0036,1,25,0,0.0,0.93,0.83,0.5,0.75,1.0,0.84
item_0037,1,25,0,0.0,0.92,0.96,0.5,0.9,0.75,0.86
item_0038,1,23,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0039,1,15,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0040,1,25,0,0.0,0.92,0.87,0.5,0.88,0.75,0.86
item_0041,1,18,0,0.0,0.92,0.93,0.5,0.88,0.75,0.86
item_0042,1,19,0,0.0,0.92,0.88,0.5,0.8,0.75,0.83
item_0043,1,25,0,0.0,0.9583,0.8824,0.5,0.875,0.75,0.8481
item_0044,1,24,0,0.0,0.92,0.87,0.5,0.75,0.75,0.81
item_0045,1,20,0,0.0,0.93,0.93,0.5,0.88,0.75,0.86
item_0046,1,24,0,0.0,0.94,0.96,0.5,0.9,0.75,0.89
item_0047,1,25,0,0.0,0.93,0.94,0.5,0.88,0.75,0.86
item_0048,1,19,0,0.0,0.93,0.82,0.5,0.83,0.75,0.81
item_0049,1,23,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
