item,clinical_recall_all,clinical_recall_symptoms,clinical_recall_medications,clinical_recall_labs,overall_token_f1,overall_rouge_l_f1,assessment_alignment_score,plan_alignment_score,judge_overall_grade,judge_error,n_omissions,n_additions,n_additions_supported_by_transcript,n_additions_unsupported_by_transcript,n_additions_unknown_by_transcript,n_additions_supported_by_primekg,n_additions_unsupported_by_primekg,n_additions_unknown_by_primekg,n_additions_supported_by_transcript_or_primekg,n_additions_transcript_unsupported_primekg_supported,n_additions_unsupported_by_transcript_and_primekg,n_omissions_unsupported_by_transcript
item_0000,0.48,0.23076923076923078,1.0,1.0,0.6011702986279257,0.44883753288807937,0.5999999999999999,0.619047619047619,B,,8,4,8,0,0,0,2,6,8,0,0,0
item_0001,0.16666666666666666,0.25,0.0,0.0,0.4651222900020047,0.33559368191721134,0.5,0.6601941747572815,C,,18,1,2,0,0,0,2,0,2,0,0,2
item_0002,0.5454545454545454,0.625,0.5,0.5714285714285714,0.5638130514003508,0.45337821031961106,0.5789473684210527,0.586046511627907,F,,7,4,4,2,0,0,6,0,4,0,2,2
item_0003,0.20588235294117646,0.35714285714285715,0.0,0.16666666666666666,0.4454020426560472,0.3472114622570103,0.27272727272727276,0.5476190476190476,C,,15,2,2,0,0,0,1,1,2,0,0,2
item_0004,0.4375,0.7142857142857143,0.25,0.8,0.5595971322278113,0.41024819713049937,0.4,0.5838509316770185,D,,18,7,14,0,0,0,12,2,14,0,0,1
item_0005,0.36666666666666664,0.23529411764705882,0.0,0.8571428571428571,0.5158246460746461,0.38334926427992116,0.5428571428571429,0.5081081081081081,C,,20,0,,,,,,,,,,1
item_0006,0.275,0.38461538461538464,0.0,0.6363636363636364,0.45184986886050155,0.30577817923499206,0.25,0.5074626865671642,D,,17,1,1,0,0,0,1,0,1,0,0,0
item_0007,0.4,0.23076923076923078,0.6666666666666666,0.35714285714285715,0.45583632376395533,0.3590078119950407,0.33333333333333326,0.6184210526315789,C,,29,6,12,0,0,0,12,0,12,0,0,3
item_0008,0.41379310344827586,0.5294117647058824,0.0,0.6666666666666666,0.5429669681300159,0.4445668638371888,0.27272727272727276,0.5868263473053892,B,,7,3,5,0,0,0,5,0,5,0,0,1
item_0009,0.5555555555555556,0.2857142857142857,1.0,0.8333333333333334,0.4845489680399434,0.3891082356999578,0.24999999999999994,0.5522388059701493,B,,16,4,6,0,0,0,5,1,6,0,0,1
item_0010,0.625,0.8461538461538461,0.0,0.5,0.0,0.0,0.0,0.0,D,,22,1,0,2,0,0,2,0,0,0,2,3
item_0011,0.4444444444444444,0.6,0.5,0.2857142857142857,0.6060965290417346,0.46938227431739676,0.4931506849315069,0.6666666666666667,C,,13,8,9,0,0,0,8,1,9,0,0,0
item_0012,0.22580645161290322,0.2857142857142857,0.5,0.16666666666666666,0.5320533769063182,0.3553363303363304,0.5,0.6203703703703705,B,,17,3,4,0,0,0,4,0,4,0,0,1
item_0013,0.35,0.0,0.5,0.5,0.47934064815808675,0.32438079759417116,0.35555555555555557,0.5648854961832062,C,,18,6,12,0,0,0,10,2,12,0,0,5
item_0014,0.43333333333333335,0.4,0.75,0.4166666666666667,0.5984522916663091,0.4938764348897566,0.8205128205128205,0.441860465116279,C,,21,1,2,0,0,0,2,0,2,0,0,3
item_0015,0.4230769230769231,0.4666666666666667,0.0,0.5714285714285714,0.5066496756255792,0.3916894801294237,0.5,0.4615384615384615,C,,28,3,5,0,0,0,1,4,5,0,0,3
item_0016,0.5555555555555556,0.6666666666666666,1.0,0.7142857142857143,0.5706743623860339,0.4668909742175961,0.4390243902439025,0.643171806167401,C,,12,1,1,0,0,0,0,1,1,0,0,0
item_0017,0.5238095238095238,0.75,0.0,0.4,0.567000999352351,0.4205371017871018,0.39999999999999997,0.6451612903225806,,Judge returned non-JSON output: Expecting property name enclosed in double quotes: line 11 column 5 (char 1135),,,,,,,,,,,,
item_0018,0.4583333333333333,0.7142857142857143,0.0,0.3333333333333333,0.30706168831168834,0.2021185601249228,0.21428571428571427,0.4571428571428572,B,,18,3,6,0,0,0,4,2,6,0,0,3
item_0019,0.391304347826087,0.2222222222222222,1.0,0.0,0.3991683181604431,0.30103746690346844,0.5365853658536585,0.5806451612903226,C,,24,9,11,3,0,2,12,0,11,0,3,0
item_0020,0.38095238095238093,0.2222222222222222,0.5,0.7142857142857143,0.5018336041063314,0.3848189335095708,0.23076923076923075,0.6481481481481481,D,,25,4,8,0,0,0,8,0,8,0,0,2
item_0021,0.5263157894736842,0.16666666666666666,0.0,0.2,0.6281054192375759,0.537229262672811,0.6,0.5742574257425742,B,,7,0,,,,,,,,,,0
item_0022,0.45,0.5,1.0,0.5,0.4396525405861269,0.3465155350288774,0.1111111111111111,0.6078431372549019,C,,15,4,8,0,0,0,4,4,8,0,0,0
