item,iterations,n_claims,n_unsupported,unsupported_rate,accuracy_score,completeness_score,communication_quality_score,context_awareness_score,instruction_following_score,overall_score
item_0000,1,17,0,0.0,0.93,0.88,0.5,0.67,0.75,0.81
item_0001,1,22,0,0.0,0.92,0.82,0.5,0.75,1.0,0.83
item_0002,1,18,1,0.05555555555555555,0.93,0.88,0.5,0.75,0.75,0.82
item_0003,1,15,0,0.0,0.92,0.93,0.5,0.83,0.75,0.84
item_0004,1,17,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0005,1,24,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0006,1,16,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0007,1,21,0,0.0,0.93,0.93,0.5,0.88,0.75,0.86
item_0008,1,20,0,0.0,0.93,0.87,0.5,0.75,0.75,0.81
item_0009,1,15,0,0.0,0.93,0.88,0.5,0.89,0.75,0.86
item_0010,1,22,1,0.045454545454545456,0.93,0.83,0.8,0.7,1.0,0.82
item_0011,1,0,0,,0.93,0.93,0.5,0.88,0.75,0.84
item_0012,1,16,0,0.0,0.93,0.87,0.5,0.75,0.75,0.82
item_0013,1,21,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0014,1,25,0,0.0,0.92,0.88,0.5,0.75,0.75,0.83
item_0015,1,12,0,0.0,0.93,0.8,0.5,0.8,0.75,0.82
item_0016,1,19,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0017,1,19,0,0.0,0.92,0.88,0.5,0.67,0.75,0.82
item_0018,1,22,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0019,1,18,1,0.05555555555555555,0.93,0.88,0.5,0.88,0.75,0.89
item_0020,1,21,0,0.0,0.93,0.88,0.5,0.67,0.75,0.82
item_0021,1,22,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0022,1,16,0,0.0,0.93,0.88,0.5,0.88,0.75,0.86
item_0023,1,17,0,0.0,0.93,0.93,0.5,0.88,0.75,0.86
item_0024,1,25,0,0.0,0.93,0.88,0.5,0.75,0.75,0.82
item_0025,1,25,2,0.08,0.92,0.93,0.5,0.88,0.75,0.86
item_0026,1,22,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0027,1,25,0,0.0,0.92,0.94,0.8,0.83,1.0,0.86
item_0028,1,13,1,0.07692307692307693,0.93,0.87,0.5,0.88,1.0,0.89
item_0029,1,17,0,0.0,0.93,0.93,0.5,0.88,1.0,0.89
