item,clinical_recall_all,clinical_recall_symptoms,clinical_recall_medications,clinical_recall_labs,overall_token_f1,overall_rouge_l_f1,assessment_alignment_score,plan_alignment_score,judge_overall_grade,judge_error,n_omissions,n_additions,n_additions_supported_by_transcript,n_additions_unsupported_by_transcript,n_additions_unknown_by_transcript,n_additions_supported_by_primekg,n_additions_unsupported_by_primekg,n_additions_unknown_by_primekg,n_additions_supported_by_transcript_or_primekg,n_additions_transcript_unsupported_primekg_supported,n_additions_unsupported_by_transcript_and_primekg,n_omissions_unsupported_by_transcript
item_0000,0.44,0.3076923076923077,1.0,0.5,0.6086225178330442,0.4129363245257752,0.4736842105263158,0.7179487179487181,B,,5,0,7,0,0,0,7,0,7,0,0,3
item_0001,0.25,0.125,0.0,0.0,0.31453712381547433,0.21816502463054188,0.42424242424242425,0.5555555555555556,B,,7,2,21,0,0,3,14,4,21,0,0,0
item_0002,0.5,0.5,0.5,0.5714285714285714,0.5615486887951586,0.4503152369408821,0.5789473684210527,0.5416666666666667,C,,14,2,0,3,0,0,3,0,0,0,3,1
item_0003,0.29411764705882354,0.2857142857142857,0.3333333333333333,0.16666666666666666,0.4916014320290102,0.38402948001438053,0.43137254901960786,0.5325443786982249,C,,12,2,3,0,0,1,2,0,3,0,0,0
item_0004,0.375,0.5714285714285714,0.25,0.6,0.5296459267883437,0.3814043008827517,0.3684210526315789,0.5534591194968553,D,,8,6,11,0,0,0,7,4,11,0,0,1
item_0005,0.43333333333333335,0.5294117647058824,0.0,0.8571428571428571,0.5243215784616612,0.4372385418271924,0.44827586206896547,0.4795321637426901,B,,18,0,,,,,,,,,,2
item_0006,0.325,0.46153846153846156,0.0,0.45454545454545453,0.4601507955490256,0.32263946883705585,0.27027027027027023,0.5142857142857142,C,,25,3,6,0,0,0,4,2,6,0,0,4
item_0007,0.4,0.07692307692307693,0.6666666666666666,0.35714285714285715,0.41709922052444126,0.32778725185135754,0.2727272727272727,0.6037735849056604,C,,23,4,8,0,0,0,8,0,8,0,0,2
item_0008,0.4482758620689655,0.5294117647058824,0.0,0.6666666666666666,0.5126928224336001,0.4175000570986547,0.23529411764705882,0.5675675675675675,C,,14,6,10,2,0,2,10,0,10,0,2,0
item_0009,0.5,0.2857142857142857,0.0,0.8333333333333334,0.459626010801295,0.3463537966022817,0.06896551724137931,0.5859872611464967,B,,10,6,12,0,0,0,4,8,12,0,0,0
item_0010,0.4583333333333333,0.15384615384615385,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,C,,27,2,4,0,0,0,0,4,4,0,0,1
item_0011,0.5,0.7,0.5,0.42857142857142855,0.5974493870485096,0.5012153850435558,0.547945205479452,0.6336633663366336,B,,1,0,3,0,0,2,1,0,3,0,0,0
item_0012,0.22580645161290322,0.21428571428571427,0.5,0.5,0.5434254249858258,0.38641062884483934,0.5217391304347826,0.6146341463414634,C,,17,2,4,0,0,0,4,0,4,0,0,1
item_0013,0.6,0.25,1.0,0.6666666666666666,0.4632732927240212,0.32252133202446576,0.4117647058823529,0.5396825396825397,B,,32,2,3,0,0,0,3,0,3,0,0,9
item_0014,0.36666666666666664,0.3,0.75,0.5,0.5423204527712724,0.4234003227562862,0.5573770491803278,0.35,C,,14,4,6,0,0,1,3,2,6,0,0,2
item_0015,0.4230769230769231,0.5333333333333333,0.5,0.5714285714285714,0.5079065632104774,0.37368798224061384,0.35294117647058826,0.4910179640718563,B,,32,4,8,0,0,2,4,2,8,0,0,7
item_0016,0.4444444444444444,0.3333333333333333,1.0,0.7142857142857143,0.57647529362175,0.4745306776556777,0.47368421052631576,0.5560975609756097,D,,30,1,0,1,0,0,1,0,0,0,1,8
item_0017,0.42857142857142855,0.75,0.0,0.6,0.49856234984112224,0.38052287581699346,0.3529411764705882,0.6363636363636364,B,,16,2,3,0,0,2,1,0,3,0,0,2
