item,iterations,n_claims,n_unsupported,unsupported_rate,accuracy_score,completeness_score,communication_quality_score,context_awareness_score,instruction_following_score,overall_score
item_0000,1,25,0,0.0,0.93,0.88,0.5,0.88,0.75,0.86
item_0001,1,24,0,0.0,0.92,0.82,1.0,0.8,1.0,0.86
item_0002,2,24,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0003,1,23,0,0.0,0.92,0.88,1.0,0.83,1.0,0.86
item_0004,1,15,0,0.0,0.93,0.88,0.5,0.89,0.75,0.88
item_0005,3,17,0,0.0,0.93,0.93,0.5,0.83,0.75,0.82
item_0006,1,25,0,0.0,0.93,0.93,0.5,0.83,0.75,0.84
item_0007,1,21,0,0.0,0.93,0.87,0.5,0.75,0.75,0.81
item_0008,1,16,0,0.0,0.93,0.87,0.5,0.67,0.75,0.81
item_0009,1,19,0,0.0,0.93,0.88,0.5,0.78,0.75,0.82
item_0010,1,14,0,0.0,0.93,0.83,0.5,0.75,0.75,0.81
item_0011,1,22,0,0.0,0.93,0.93,0.5,0.88,0.75,0.86
item_0012,1,23,0,0.0,0.93,0.87,0.5,0.75,0.75,0.82
item_0013,1,15,0,0.0,0.92,0.87,0.8,0.83,0.75,0.83
item_0014,1,21,0,0.0,0.92,0.88,0.5,0.88,0.75,0.84
item_0015,1,16,0,0.0,0.93,0.88,0.5,0.75,0.75,0.82
item_0016,1,22,0,0.0,0.93,0.88,0.5,0.75,0.75,0.82
item_0017,1,21,0,0.0,0.93,0.88,0.5,0.75,0.75,0.82
item_0018,1,24,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0019,3,25,0,0.0,0.93,0.88,0.5,0.88,0.75,0.86
item_0020,1,11,0,0.0,0.93,0.88,0.9,0.88,1.0,0.89
item_0021,1,23,0,0.0,0.92,0.87,0.8,0.83,0.75,0.84
item_0022,2,24,0,0.0,0.93,0.88,0.5,0.88,0.75,0.86
item_0023,1,25,0,0.0,0.93,0.93,0.5,0.88,0.75,0.86
item_0024,1,23,0,0.0,0.93,0.87,0.5,0.75,0.75,0.82
item_0025,1,17,0,0.0,0.92,0.87,0.9,0.88,0.75,0.86
item_0026,1,25,0,0.0,0.92,0.93,0.5,0.88,0.75,0.86
item_0027,1,18,0,0.0,0.92,0.94,0.9,0.83,1.0,0.89
item_0028,1,18,0,0.0,0.92,0.87,0.5,0.8,1.0,0.88
item_0029,1,23,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0030,1,24,0,0.0,0.92,0.88,0.5,0.75,0.75,0.82
item_0031,1,25,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0032,1,20,0,0.0,0.92,0.91,0.5,0.9,0.75,0.88
item_0033,1,14,0,0.0,0.92,0.88,0.8,0.83,0.75,0.82
item_0034,1,0,0,,0.92,0.88,0.9,0.75,1.0,0.86
item_0035,1,15,0,0.0,0.92,0.94,1.0,0.93,1.0,0.93
item_0036,2,18,0,0.0,0.93,0.87,0.5,0.71,0.75,0.82
item_0037,1,23,0,0.0,0.92,0.88,0.5,0.75,1.0,0.82
item_0038,1,17,0,0.0,0.93,0.88,0.5,0.75,0.75,0.82
item_0039,1,22,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0040,1,22,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0041,1,23,0,0.0,0.93,0.88,1.0,0.88,0.75,0.89
item_0042,1,20,0,0.0,0.88,0.83,0.5,0.75,0.75,0.78
item_0043,1,0,0,,0.92,0.87,0.5,0.8,1.0,0.86
item_0044,1,0,0,,0.92,0.93,0.5,0.88,0.75,0.86
item_0045,1,24,0,0.0,0.92,0.88,0.5,0.75,0.75,0.83
item_0046,2,24,0,0.0,0.92,0.87,0.5,0.8,1.0,0.86
item_0047,1,19,0,0.0,0.93,0.93,0.5,0.88,0.75,0.86
item_0048,1,14,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0049,1,23,0,0.0,0.93,0.94,0.5,0.88,0.75,0.86
item_0050,1,14,0,0.0,0.93,0.93,0.5,0.88,0.75,0.86
item_0051,1,19,0,0.0,0.93,0.83,0.5,0.75,0.75,0.81
item_0052,1,21,0,0.0,0.93,0.83,0.5,0.75,1.0,0.84
item_0053,2,24,0,0.0,0.92,0.87,0.5,0.8,0.75,0.82
item_0054,1,21,0,0.0,0.92,0.88,0.5,0.75,1.0,0.85
item_0055,1,24,0,0.0,0.93,0.87,0.5,0.8,0.75,0.82
item_0056,1,16,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0057,1,25,0,0.0,0.92,0.88,0.5,0.89,0.75,0.86
item_0058,1,16,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0059,1,18,0,0.0,0.92,0.87,0.5,0.88,0.75,0.86
item_0060,1,22,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0061,1,25,0,0.0,0.92,0.88,0.8,0.83,0.75,0.84
item_0062,1,0,0,,0.92,0.88,0.5,0.75,0.75,0.82
item_0063,1,20,0,0.0,0.92,0.88,0.5,0.75,0.75,0.83
item_0064,1,14,0,0.0,0.93,0.87,0.5,0.75,0.75,0.82
item_0065,1,0,0,,0.92,0.94,0.5,0.88,1.0,0.89
item_0066,1,22,0,0.0,0.93,0.88,0.5,0.88,0.75,0.86
item_0067,1,20,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0068,1,23,0,0.0,0.92,0.88,0.5,0.75,0.75,0.82
item_0069,2,23,0,0.0,0.9583,0.9333,0.5,0.875,0.75,0.8481
item_0070,1,25,0,0.0,0.92,0.87,0.5,0.8,1.0,0.86
item_0071,1,23,0,0.0,0.93,0.88,0.5,0.88,1.0,0.89
item_0072,1,23,0,0.0,0.92,0.87,0.5,0.8,1.0,0.88
item_0073,1,18,0,0.0,0.93,0.88,1.0,0.88,0.75,0.89
item_0074,1,21,0,0.0,0.93,0.93,0.5,0.88,1.0,0.89
item_0075,1,23,0,0.0,0.92,0.88,0.9,0.75,0.75,0.83
item_0076,1,22,0,0.0,0.92,0.87,0.5,0.8,1.0,0.88
item_0077,1,25,0,0.0,0.875,0.8333,0.5,0.75,1.0,0.78125
item_0078,1,14,0,0.0,0.93,0.88,0.5,0.67,0.75,0.82
item_0079,1,15,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0080,2,15,0,0.0,0.92,0.94,1.0,0.93,1.0,0.93
item_0081,1,25,0,0.0,0.92,0.87,0.5,0.8,1.0,0.88
item_0082,1,21,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0083,1,22,0,0.0,0.93,0.88,1.0,0.88,0.75,0.86
item_0084,1,21,0,0.0,0.93,0.87,0.5,0.88,0.75,0.86
item_0085,1,21,0,0.0,0.92,0.87,0.5,0.67,0.75,0.78
item_0086,1,25,0,0.0,0.93,0.93,0.5,0.88,1.0,0.89
item_0087,1,15,0,0.0,0.93,0.87,0.5,0.88,0.75,0.86
item_0088,1,21,0,0.0,0.93,0.87,0.5,0.89,0.75,0.88
item_0089,1,20,0,0.0,0.93,0.94,0.5,0.88,0.75,0.89
item_0090,4,25,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0091,1,18,0,0.0,0.93,0.83,0.5,0.75,1.0,0.84
item_0092,2,17,0,0.0,0.92,0.88,0.9,0.88,0.75,0.86
item_0093,1,20,0,0.0,0.92,0.88,0.5,0.88,0.75,0.83
item_0094,1,22,0,0.0,0.93,0.93,0.5,0.88,0.75,0.84
item_0095,1,20,0,0.0,0.93,0.93,0.5,0.9,0.75,0.86
item_0096,2,23,0,0.0,0.94,0.92,0.5,0.83,0.75,0.87
item_0097,1,22,0,0.0,0.92,0.87,0.5,0.8,1.0,0.86
item_0098,2,21,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0099,1,26,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0100,1,19,0,0.0,0.86,0.87,0.5,0.88,0.75,0.84
item_0101,1,16,0,0.0,0.93,0.87,1.0,0.8,0.75,0.84
item_0102,2,18,0,0.0,0.93,0.88,0.5,0.75,1.0,0.84
item_0103,1,18,0,0.0,0.93,0.92,1.0,0.88,1.0,0.89
item_0104,2,13,0,0.0,0.86,0.87,0.5,0.88,0.75,0.83
item_0105,1,21,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0106,1,19,0,0.0,0.93,0.88,0.5,0.67,0.75,0.81
item_0107,1,25,0,0.0,0.92,0.88,0.5,0.88,1.0,0.86
item_0108,1,13,0,0.0,0.93,0.88,0.5,0.78,0.75,0.82
item_0109,1,22,0,0.0,0.93,0.9,0.5,0.8,1.0,0.86
item_0110,1,25,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0111,1,12,0,0.0,0.93,0.88,0.5,0.88,0.75,0.86
item_0112,1,16,0,0.0,0.92,0.87,0.5,0.88,0.75,0.84
item_0113,1,15,0,0.0,0.93,0.88,0.5,0.88,1.0,0.89
item_0114,1,18,0,0.0,0.93,0.88,0.5,0.75,0.75,0.82
item_0115,1,14,0,0.0,0.92,0.88,0.9,0.87,1.0,0.89
item_0116,1,23,0,0.0,0.93,0.93,0.5,0.88,0.75,0.88
item_0117,1,25,0,0.0,0.92,0.88,0.9,0.75,0.75,0.83
item_0118,1,24,0,0.0,0.93,0.88,1.0,0.83,0.75,0.86
item_0119,3,24,0,0.0,0.92,0.88,0.5,0.75,0.75,0.83
item_0120,1,25,0,0.0,0.93,0.83,0.5,0.8,0.75,0.81
item_0121,2,12,0,0.0,0.86,0.87,0.5,0.88,0.75,0.83
item_0122,1,18,0,0.0,0.93,0.88,0.5,0.88,0.75,0.86
item_0123,2,0,0,,0.92,0.88,0.5,0.88,0.75,0.86
item_0124,1,17,0,0.0,0.93,0.83,0.5,0.83,0.75,0.81
item_0125,1,21,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0126,1,20,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0127,1,25,0,0.0,0.92,0.88,1.0,0.88,1.0,0.89
item_0128,1,17,0,0.0,0.93,0.83,0.5,0.75,0.75,0.81
item_0129,1,13,0,0.0,0.93,0.93,0.5,0.88,0.75,0.86
item_0130,1,23,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0131,1,0,0,,0.92,0.87,0.9,0.83,0.75,0.84
item_0132,1,24,0,0.0,0.92,0.87,0.5,0.8,1.0,0.86
item_0133,1,23,0,0.0,0.93,0.88,0.5,0.75,0.75,0.81
item_0134,1,16,0,0.0,0.94,0.87,0.5,0.86,0.75,0.84
item_0135,1,20,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0136,1,23,0,0.0,0.92,0.87,0.5,0.67,0.75,0.81
item_0137,1,22,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0138,1,22,0,0.0,0.93,0.93,0.5,0.88,0.75,0.88
item_0139,2,16,0,0.0,0.93,0.93,0.5,0.83,0.75,0.81
item_0140,1,17,0,0.0,0.92,0.88,0.5,0.67,0.75,0.79
item_0141,1,19,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0142,1,19,0,0.0,0.92,0.87,0.5,0.8,1.0,0.86
item_0143,1,25,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0144,1,25,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0145,3,17,0,0.0,0.93,0.88,0.9,0.87,0.75,0.86
item_0146,2,19,0,0.0,0.93,0.83,0.5,0.75,1.0,0.84
