item,clinical_recall_all,clinical_recall_symptoms,clinical_recall_medications,clinical_recall_labs,overall_token_f1,overall_rouge_l_f1,assessment_alignment_score,plan_alignment_score,judge_overall_grade,judge_error,n_omissions,n_additions,n_additions_supported_by_transcript,n_additions_unsupported_by_transcript,n_additions_unknown_by_transcript,n_omissions_unsupported_by_transcript
item_0000,0.6,0.6153846153846154,1.0,0.875,0.657765606242497,0.4720968945928455,0.375,0.6714285714285714,A,,5,7,14,0,0,1
item_0001,0.5833333333333334,0.25,1.0,0.0,0.4847039846925818,0.3717846315680289,0.26415094339622636,0.7407407407407407,A,,1,3,21,1,0,0
item_0002,0.5909090909090909,0.625,0.5,0.7142857142857143,0.6795734911153218,0.5212990599678364,0.4545454545454546,0.7319148936170212,A,,4,4,10,0,0,0
item_0003,0.38235294117647056,0.35714285714285715,0.3333333333333333,0.8333333333333334,0.5985603302137563,0.3659103000773495,0.2641509433962264,0.6220095693779906,B,,11,7,14,0,0,0
item_0004,0.5,0.7857142857142857,0.5,0.8,0.6812594559653383,0.5629430435438456,0.38461538461538464,0.6742857142857143,A,,0,0,8,0,0,
item_0005,0.5333333333333333,0.5882352941176471,0.5,0.8571428571428571,0.6792621432532946,0.5445546508363196,0.5714285714285715,0.7236180904522612,C,,11,7,14,0,0,2
item_0006,0.5,0.46153846153846156,0.0,0.5454545454545454,0.5970878350834756,0.38916272786241823,0.32786885245901637,0.6872246696035242,B,,17,10,13,2,0,0
item_0007,0.4,0.46153846153846156,0.6666666666666666,0.42857142857142855,0.5757365608764704,0.4388140887887756,0.19999999999999998,0.6557377049180327,B,,9,8,12,0,0,0
item_0008,0.7241379310344828,0.7647058823529411,0.0,0.8333333333333334,0.6095225197337875,0.5112619259754242,0.15384615384615388,0.6428571428571429,B,,10,4,11,0,0,0
item_0009,0.8888888888888888,0.42857142857142855,0.0,1.0,0.6076388888888888,0.45281238995480555,0.2222222222222222,0.6666666666666666,C,,3,14,11,4,0,0
item_0010,0.7916666666666666,0.8461538461538461,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,B,,11,5,10,0,0,2
item_0011,0.6111111111111112,0.6,0.5,0.5714285714285714,0.6803606519714775,0.5667934310641308,0.3389830508474576,0.7423580786026202,B,,0,0,7,0,0,
item_0012,0.3548387096774194,0.21428571428571427,0.5,0.8333333333333334,0.6364388568802933,0.4808640508243826,0.4578313253012048,0.6451612903225806,B,,12,8,13,0,0,1
item_0013,0.3,0.25,0.5,0.6666666666666666,0.6133599613815441,0.4721866619720907,0.42857142857142855,0.6190476190476191,B,,7,11,20,2,0,3
item_0014,0.6,0.7,1.0,0.5833333333333334,0.6489367235292532,0.5223730088167349,0.4444444444444444,0.6315789473684211,A,,3,2,13,0,0,1
item_0015,0.46153846153846156,0.5333333333333333,0.5,0.0,0.6365029106468548,0.5409275381523443,0.5,0.5473684210526315,B,,16,8,11,0,0,2
item_0016,0.5555555555555556,0.5,1.0,0.7142857142857143,0.7174880478507193,0.5830853195602783,0.5333333333333332,0.735294117647059,B,,2,6,5,1,0,0
item_0017,0.5238095238095238,0.625,1.0,0.5,0.6687754655109815,0.6263446149809786,0.3333333333333333,0.8361581920903954,B,,10,15,26,4,0,1
item_0018,0.6666666666666666,0.7857142857142857,0.0,0.6666666666666666,0.5280292977130778,0.41768653102312114,0.25,0.594059405940594,B,,0,0,9,0,0,
item_0019,0.4782608695652174,0.6111111111111112,0.0,0.0,0.5696743443793482,0.4142605383193295,0.6086956521739131,0.669767441860465,B,,16,13,15,0,0,1
item_0020,0.47619047619047616,0.5555555555555556,0.5,0.7142857142857143,0.6318372080097691,0.4937520864855978,0.19047619047619044,0.6982758620689655,C,,14,10,12,1,0,2
item_0021,0.47368421052631576,0.3333333333333333,1.0,0.2,0.6682159805110625,0.5422985902854262,0.48648648648648646,0.6557377049180328,C,,1,1,7,0,0,1
item_0022,0.4,0.25,1.0,0.6666666666666666,0.546721018735363,0.3667484959971112,0.0625,0.6960000000000001,C,,3,1,9,2,0,1
item_0023,0.41935483870967744,0.38461538461538464,0.5,0.8,0.6394635912081653,0.5196806892423366,0.3529411764705882,0.6822429906542056,D,,16,8,15,0,0,0
item_0024,0.7222222222222222,1.0,1.0,0.8,0.7308482458969596,0.6486462751880209,0.6511627906976744,0.6777777777777777,B,,5,3,5,0,0,0
item_0025,0.65625,0.8888888888888888,0.0,0.7272727272727273,0.7043858327957749,0.5603948223684051,0.4931506849315069,0.7292817679558011,C,,0,0,17,2,0,
item_0026,0.20833333333333334,0.2222222222222222,0.0,0.18181818181818182,0.6386573448691676,0.4456178383543582,0.5882352941176471,0.7426160337552744,D,,18,10,20,0,0,3
item_0027,0.6666666666666666,0.9,0.0,0.6666666666666666,0.7977290631114308,0.7213000732045101,0.6923076923076923,0.8584905660377359,B,,4,7,7,0,0,0
item_0028,0.7407407407407407,0.8571428571428571,0.0,0.2857142857142857,0.6430724533214807,0.5133140887293401,0.379746835443038,0.7287449392712552,C,,12,13,20,3,0,1
item_0029,0.5172413793103449,0.75,1.0,0.4444444444444444,0.6888187979748489,0.561333883829128,0.45714285714285713,0.7770700636942676,B,,10,7,10,2,0,3
item_0030,0.8888888888888888,1.0,0.6666666666666666,0.8571428571428571,0.7610484544695071,0.6206189424551023,0.8444444444444444,0.7523809523809524,A,,6,11,16,6,0,0
item_0031,0.6428571428571429,0.7692307692307693,1.0,1.0,0.8135890884792264,0.7265908033750856,0.8799999999999999,0.7044534412955465,B,,2,6,11,1,0,0
item_0032,0.5454545454545454,0.5,0.0,0.5833333333333334,0.6114652653434972,0.4668319979282863,0.2564102564102564,0.652892561983471,C,,20,14,28,0,0,3
item_0033,0.5357142857142857,0.75,0.25,0.75,0.817988529327238,0.6791520154362287,0.9285714285714286,0.8088888888888888,B,,4,7,13,2,0,0
item_0034,0.4583333333333333,0.5,0.5,0.2857142857142857,0.5740140556573747,0.40301341940867785,0.3283582089552239,0.7068965517241379,D,,8,8,16,0,0,0
item_0035,0.7391304347826086,0.8666666666666667,1.0,0.5,0.0,0.0,0.0,0.0,B,,13,7,7,0,0,2
item_0036,0.37037037037037035,0.5,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,C,,7,7,11,3,0,0
item_0037,0.6875,0.7272727272727273,0.75,0.5714285714285714,0.4805788586844488,0.34247243281853823,0.163265306122449,0.6739130434782609,C,,9,9,15,0,0,4
item_0038,0.5,0.3333333333333333,1.0,0.8,0.6256128702757916,0.5009015834707394,0.5,0.7272727272727272,A,,3,18,27,9,0,0
item_0039,0.34782608695652173,0.8,0.3333333333333333,0.0,0.7005482097364345,0.6090453351492701,0.6440677966101694,0.7428571428571429,B,,6,7,12,2,0,0
item_0040,0.5,0.6,0.5,0.2222222222222222,0.631642873984233,0.5144382160099973,0.425531914893617,0.7004608294930875,C,,6,13,25,1,0,0
item_0041,0.4,0.5,1.0,0.4166666666666667,0.5833397766722628,0.42964445242770366,0.18823529411764706,0.7196652719665272,C,,10,14,20,1,0,1
item_0042,0.5882352941176471,0.5,1.0,1.0,0.5750210136827237,0.42102671433736394,0.3333333333333333,0.576923076923077,B,,4,2,14,0,0,0
item_0043,0.5925925925925926,1.0,1.0,0.6923076923076923,0.7636145676193824,0.5945140878255947,0.5866666666666668,0.8640776699029127,D,,5,4,6,2,0,1
item_0044,0.6206896551724138,0.7692307692307693,0.6666666666666666,0.7272727272727273,0.0,0.0,0.0,0.0,B,,6,14,23,5,0,0
