item,iterations,n_claims,n_unsupported,unsupported_rate,accuracy_score,completeness_score,communication_quality_score,context_awareness_score,instruction_following_score,overall_score
item_0000,1,19,0,0.0,0.92,0.88,0.5,0.75,0.75,0.83
item_0001,1,25,0,0.0,0.92,0.82,0.5,0.8,1.0,0.86
item_0002,1,28,0,0.0,0.92,0.88,0.5,0.75,0.75,0.83
item_0003,1,12,0,0.0,0.92,0.93,0.5,0.88,1.0,0.89
item_0004,1,25,0,0.0,0.92,0.87,0.5,0.8,1.0,0.86
item_0005,1,14,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0006,1,19,0,0.0,0.93,0.87,0.5,0.67,0.75,0.81
item_0007,1,25,0,0.0,0.96,0.87,0.8,0.83,0.75,0.83
item_0008,1,25,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0009,1,25,0,0.0,0.92,0.87,0.5,0.8,1.0,0.88
item_0010,1,24,0,0.0,0.92,0.87,0.5,0.8,0.75,0.81
item_0011,1,22,0,0.0,0.92,0.87,0.5,0.88,0.75,0.86
item_0012,1,25,0,0.0,0.92,0.87,0.5,0.88,0.75,0.86
item_0013,1,14,0,0.0,0.92,0.87,0.5,0.88,0.75,0.86
item_0014,1,25,0,0.0,0.92,0.87,0.5,0.8,1.0,0.88
item_0015,1,18,0,0.0,0.93,0.9,0.5,0.8,1.0,0.86
item_0016,1,20,0,0.0,0.92,0.88,0.5,0.75,0.75,0.83
item_0017,1,21,0,0.0,0.92,0.87,0.5,0.8,1.0,0.86
item_0018,1,19,0,0.0,0.9583,0.9286,0.5,0.8333,1.0,0.8833
item_0019,1,24,0,0.0,0.92,0.82,0.5,0.86,0.75,0.83
item_0020,1,24,0,0.0,0.92,0.87,0.8,0.86,0.75,0.85
item_0021,2,19,0,0.0,0.92,0.88,0.5,0.88,0.75,0.83
item_0022,1,0,0,,0.92,0.88,0.8,0.83,0.75,0.83
item_0023,1,25,0,0.0,0.92,0.87,0.5,0.88,0.75,0.86
item_0024,1,25,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0025,1,25,0,0.0,0.94,0.87,0.5,0.8,0.75,0.85
item_0026,1,22,0,0.0,0.92,0.88,0.5,0.75,0.75,0.83
item_0027,2,25,0,0.0,0.92,0.94,0.9,0.83,0.75,0.86
item_0028,1,25,0,0.0,0.82,0.83,0.8,0.7,1.0,0.81
item_0029,1,24,0,0.0,0.93,0.93,0.5,0.83,0.75,0.82
item_0030,1,21,0,0.0,0.92,0.88,0.8,0.9,0.75,0.86
item_0031,1,25,0,0.0,0.92,0.88,0.5,0.75,0.75,0.83
item_0032,1,25,0,0.0,0.82,0.87,0.8,0.83,0.75,0.81
item_0033,1,25,0,0.0,0.92,0.88,0.5,0.67,0.75,0.81
item_0034,1,15,0,0.0,0.92,0.87,0.5,0.8,0.75,0.83
item_0035,2,22,0,0.0,0.93,0.92,0.5,0.88,0.75,0.86
item_0036,1,24,0,0.0,0.92,0.87,0.5,0.8,1.0,0.86
item_0037,1,25,0,0.0,0.94,0.92,0.8,0.86,1.0,0.89
item_0038,1,25,0,0.0,0.93,0.83,0.5,0.75,1.0,0.84
item_0039,1,23,0,0.0,0.92,0.87,0.5,0.8,1.0,0.86
item_0040,1,19,0,0.0,0.94,0.96,0.5,0.9,0.75,0.88
item_0041,2,25,0,0.0,0.92,0.88,0.5,0.75,0.75,0.83
item_0042,1,22,0,0.0,0.92,0.87,0.5,0.8,1.0,0.86
item_0043,1,24,0,0.0,0.94,0.96,1.0,0.92,1.0,0.93
item_0044,1,25,0,0.0,0.92,0.87,0.5,0.8,1.0,0.88
item_0045,1,25,0,0.0,0.92,0.88,0.5,0.67,0.75,0.81
item_0046,2,25,0,0.0,0.92,0.87,0.5,0.8,1.0,0.83
item_0047,1,23,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0048,1,24,0,0.0,0.92,0.88,0.8,0.83,0.75,0.82
item_0049,1,22,0,0.0,0.92,0.87,0.5,0.75,0.75,0.81
