item,clinical_recall_all,clinical_recall_symptoms,clinical_recall_medications,clinical_recall_labs,overall_token_f1,overall_rouge_l_f1,assessment_alignment_score,plan_alignment_score,judge_overall_grade,judge_error,n_omissions,n_additions,n_additions_supported_by_transcript,n_additions_unsupported_by_transcript,n_additions_unknown_by_transcript,n_additions_supported_by_primekg,n_additions_unsupported_by_primekg,n_additions_unknown_by_primekg,n_additions_supported_by_transcript_or_primekg,n_additions_transcript_unsupported_primekg_supported,n_additions_unsupported_by_transcript_and_primekg,n_omissions_unsupported_by_transcript
item_0000,0.44,0.23076923076923078,1.0,0.625,0.6018400357823342,0.45662610828145633,0.5,0.7058823529411765,B,,10,2,4,0,0,0,4,0,4,0,0,1
item_0001,0.08333333333333333,0.125,0.0,0.0,0.3785723366386982,0.27515383847152547,0.3888888888888889,0.7304347826086957,C,,17,4,8,0,0,0,4,4,8,0,0,0
item_0002,0.5454545454545454,0.375,0.5,0.7142857142857143,0.4731055027513958,0.3498728092127793,0.3333333333333333,0.5427135678391961,C,,22,2,4,0,0,0,4,0,4,0,0,0
item_0003,0.35294117647058826,0.2857142857142857,0.3333333333333333,0.5,0.5384443477893813,0.4092701161643417,0.509090909090909,0.5635359116022098,C,,20,3,3,0,0,0,2,1,3,0,0,2
item_0004,0.4375,0.7142857142857143,0.75,0.6,0.6296717049920728,0.46341292370663173,0.34146341463414637,0.6473988439306358,C,,7,5,10,0,0,0,8,2,10,0,0,2
item_0005,0.4,0.5294117647058824,0.0,0.8571428571428571,0.570230329344488,0.46114646588795116,0.619718309859155,0.5,B,,13,0,,,,,,,,,,3
item_0006,0.425,0.46153846153846156,0.0,0.45454545454545453,0.49067731185968233,0.3396253938615941,0.372093023255814,0.46739130434782605,D,,22,2,4,0,0,0,4,0,4,0,0,1
item_0007,0.3333333333333333,0.15384615384615385,0.6666666666666666,0.35714285714285715,0.48501675693234136,0.3395825484462583,0.25,0.6296296296296297,B,,16,5,10,0,0,0,10,0,10,0,0,0
item_0008,0.3448275862068966,0.17647058823529413,1.0,0.6666666666666666,0.5226926523297492,0.41555966898954705,0.1935483870967742,0.5972222222222222,C,,14,4,2,2,0,0,1,3,2,0,0,2
item_0009,0.4444444444444444,0.2857142857142857,1.0,0.8333333333333334,0.4861163093766437,0.41083460259004145,0.32,0.4964539007092199,B,,12,3,6,0,0,0,4,2,6,0,0,1
item_0010,0.2916666666666667,0.23076923076923078,0.0,0.5,0.0,0.0,0.0,0.0,D,,15,4,8,0,0,0,8,0,8,0,0,1
item_0011,0.3333333333333333,0.4,0.5,0.2857142857142857,0.6111158948845515,0.4670140627995127,0.5277777777777777,0.6256410256410256,C,,16,4,8,0,0,0,6,2,8,0,0,0
item_0012,0.3548387096774194,0.42857142857142855,0.5,0.5,0.5357847231523756,0.3698124042937857,0.4722222222222222,0.6550218340611353,B,,13,5,10,0,0,0,6,4,10,0,0,1
item_0013,0.45,0.0,0.5,0.6666666666666666,0.49389192373905405,0.34614672963930954,0.5925925925925927,0.6511627906976744,B,,31,5,10,0,0,0,8,2,10,0,0,9
item_0014,0.43333333333333335,0.4,1.0,0.5,0.5471064996898586,0.44336514662969745,0.5964912280701754,0.5076142131979696,C,,2,0,2,1,0,0,3,0,2,0,1,0
item_0015,0.34615384615384615,0.4,0.5,0.0,0.5457906644439152,0.38497199565650636,0.5,0.48235294117647065,C,,19,1,1,0,0,0,1,0,1,0,0,1
item_0016,0.5185185185185185,0.25,1.0,0.7142857142857143,0.5975877192982456,0.5187992718080205,0.6315789473684211,0.5,D,,28,1,2,0,0,0,2,0,2,0,0,8
item_0017,0.5238095238095238,0.625,0.0,0.4,0.4792415416579855,0.3518784268598118,0.3529411764705882,0.6623376623376623,B,,21,3,3,0,0,0,0,3,3,0,0,1
item_0018,0.4166666666666667,0.6428571428571429,0.0,0.3333333333333333,0.3188279583931758,0.21999847539394732,0.07407407407407407,0.518918918918919,C,,6,2,5,0,0,0,5,0,5,0,0,1
item_0019,0.391304347826087,0.3888888888888889,1.0,0.0,0.4712568441411399,0.3462876924644177,0.5714285714285715,0.5841584158415841,C,,16,9,18,0,0,0,18,0,18,0,0,1
item_0020,0.38095238095238093,0.2222222222222222,0.5,0.42857142857142855,0.5259883639078295,0.4219577072362379,0.3157894736842105,0.6255924170616114,C,,18,3,6,0,0,0,4,2,6,0,0,0
item_0021,0.3684210526315789,0.0,0.0,0.2,0.5913927082477615,0.5233872335463902,0.48648648648648646,0.5531914893617021,C,,11,3,5,0,0,0,3,2,5,0,0,4
