item,iterations,n_claims,n_unsupported,unsupported_rate,accuracy_score,completeness_score,communication_quality_score,context_awareness_score,instruction_following_score,overall_score
item_0000,1,23,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0001,2,22,0,0.0,0.92,0.765,0.5,0.8,1.0,0.845
item_0002,1,22,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0003,1,22,0,0.0,0.92,0.87,0.5,0.88,0.75,0.86
item_0004,2,15,0,0.0,0.92,0.94,0.5,0.88,1.0,0.89
item_0005,1,23,0,0.0,0.93,0.93,0.5,0.88,0.75,0.86
item_0006,2,21,0,0.0,0.93,0.93,0.5,0.88,0.75,0.86
item_0007,1,16,0,0.0,0.93,0.93,0.5,0.75,0.75,0.82
item_0008,1,22,0,0.0,0.93,0.83,0.5,0.75,1.0,0.84
item_0009,1,15,0,0.0,0.93,0.88,0.5,0.89,0.75,0.86
item_0010,2,25,0,0.0,0.92,0.87,0.5,0.8,1.0,0.88
item_0011,1,18,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0012,1,14,0,0.0,0.93,0.93,0.5,0.83,0.75,0.81
item_0013,1,15,0,0.0,0.93,0.93,0.5,0.88,0.75,0.86
item_0014,1,18,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0015,1,16,0,0.0,0.93,0.93,0.5,0.88,0.75,0.84
item_0016,1,19,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0017,1,17,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0018,4,10,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0019,2,20,0,0.0,0.93,0.88,0.5,0.88,0.75,0.86
item_0020,1,17,0,0.0,0.93,0.88,0.5,0.88,0.75,0.86
item_0021,1,20,0,0.0,0.9583,0.867,0.5,0.667,0.75,0.82
item_0022,1,22,0,0.0,0.93,0.88,0.5,0.88,0.75,0.86
item_0023,1,25,0,0.0,0.93,0.93,0.5,0.88,0.75,0.86
item_0024,4,24,1,0.041666666666666664,0.92,0.88,0.9,0.83,1.0,0.86
item_0025,1,16,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0026,1,26,0,0.0,0.93,0.93,0.5,0.88,0.75,0.86
item_0027,1,21,0,0.0,0.92,0.85,0.8,0.75,1.0,0.83
item_0028,4,21,0,0.0,0.93,0.87,0.5,0.89,0.75,0.88
item_0029,1,15,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0030,1,23,0,0.0,0.92,0.88,0.5,0.75,1.0,0.83
item_0031,1,23,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0032,1,25,0,0.0,0.92,0.87,0.5,0.8,0.75,0.83
item_0033,1,25,0,0.0,0.93,0.88,0.5,0.75,0.75,0.81
item_0034,1,22,0,0.0,0.92,0.88,0.9,0.87,1.0,0.89
item_0035,1,12,0,0.0,0.93,0.83,0.5,0.75,0.75,0.81
item_0036,1,25,0,0.0,0.93,0.83,0.5,0.75,1.0,0.84
item_0037,1,25,0,0.0,0.93,0.83,0.5,0.75,1.0,0.82
item_0038,1,24,0,0.0,0.93,0.88,0.5,0.75,0.75,0.82
item_0039,1,13,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0040,1,22,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0041,1,23,0,0.0,0.93,0.88,0.5,0.88,0.75,0.86
item_0042,1,17,0,0.0,0.93,0.88,1.0,0.88,0.75,0.86
item_0043,1,17,0,0.0,0.92,0.87,0.5,0.8,1.0,0.86
item_0044,1,18,0,0.0,0.92,0.93,0.5,0.88,0.75,0.86
item_0045,1,21,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0046,1,23,0,0.0,0.92,0.87,0.5,0.8,1.0,0.86
item_0047,1,13,0,0.0,0.93,0.93,0.5,0.88,0.75,0.86
item_0048,2,19,0,0.0,0.93,0.8,0.5,0.75,0.75,0.81
item_0049,1,24,0,0.0,0.93,0.9,1.0,0.9,1.0,0.92
item_0050,1,16,0,0.0,0.92,0.87,0.5,0.75,0.75,0.82
item_0051,1,25,0,0.0,0.93,0.93,0.5,0.88,1.0,0.89
item_0052,1,25,0,0.0,0.88,0.83,0.5,0.83,0.75,0.82
item_0053,1,19,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0054,1,25,0,0.0,0.92,0.93,0.5,0.88,1.0,0.89
item_0055,1,11,0,0.0,0.93,0.8,0.5,0.8,0.75,0.81
item_0056,1,12,0,0.0,0.92,0.93,0.5,0.88,0.75,0.86
item_0057,1,17,0,0.0,0.92,0.93,0.5,0.83,0.75,0.84
item_0058,1,23,0,0.0,0.93,0.87,0.5,0.67,0.75,0.81
item_0059,3,17,0,0.0,0.92,0.87,0.5,0.88,0.75,0.84
item_0060,1,24,0,0.0,0.92,0.88,0.5,0.75,1.0,0.84
item_0061,1,22,0,0.0,0.92,0.88,0.9,0.87,0.75,0.86
item_0062,1,23,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0063,1,18,0,0.0,0.92,0.87,0.5,0.88,0.75,0.84
item_0064,1,19,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
item_0065,1,21,0,0.0,0.92,0.87,0.5,0.8,1.0,0.86
item_0066,1,25,0,0.0,0.9583,0.9333,0.5,0.875,1.0,0.8875
item_0067,3,24,0,0.0,0.93,0.88,0.5,0.88,0.75,0.86
item_0068,1,24,0,0.0,0.92,0.88,0.5,0.75,0.75,0.82
item_0069,2,12,0,0.0,0.92,0.88,0.5,0.88,0.75,0.86
item_0070,1,16,0,0.0,0.93,0.96,0.5,0.88,0.75,0.89
item_0071,1,16,0,0.0,0.93,0.93,0.5,0.88,0.75,0.86
item_0072,2,24,0,0.0,0.93,0.8,0.5,0.75,0.75,0.82
